first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased,weekly_first_dose,weekly_second_dose,weekly_third_dose,weekly_fourth_dose,Gender
2020/4/12,2020/4/18,80+,נקבה,5832,79,26,,,,,female
2020/4/12,2020/4/18,80+,לא ידוע,<15,0,0,,,,,unknown
2020/4/12,2020/4/18,NULL,זכר,734,33,0,,,,,male
2020/4/12,2020/4/18,NULL,לא ידוע,244,<15,0,,,,,unknown
2020/4/12,2020/4/18,NULL,נקבה,955,23,0,,,,,female
2020/4/19,2020/4/25,0-19,זכר,6059,365,0,,,,,male
2020/4/19,2020/4/25,0-19,לא ידוע,83,<15,0,,,,,unknown
2020/4/19,2020/4/25,0-19,נקבה,4752,314,0,,,,,female
2020/4/19,2020/4/25,20-24,זכר,3753,102,0,,,,,male
2020/4/19,2020/4/25,20-24,לא ידוע,<15,0,0,,,,,unknown
2020/4/19,2020/4/25,20-24,נקבה,3274,116,0,,,,,female
2020/4/19,2020/4/25,25-29,זכר,3376,73,0,,,,,male
2020/4/19,2020/4/25,25-29,נקבה,3369,76,<15,,,,,female
2020/4/19,2020/4/25,25-29,לא ידוע,<15,0,0,,,,,unknown
2020/4/19,2020/4/25,30-34,זכר,3002,50,0,,,,,male
2020/4/19,2020/4/25,30-34,נקבה,2944,48,0,,,,,female
2020/4/19,2020/4/25,30-34,לא ידוע,<15,0,0,,,,,unknown
2020/4/19,2020/4/25,35-39,זכר,2456,37,0,,,,,male
2020/4/19,2020/4/25,35-39,לא ידוע,<15,0,0,,,,,unknown
2020/4/19,2020/4/25,35-39,נקבה,2621,39,0,,,,,female
2020/4/19,2020/4/25,40-44,לא ידוע,<15,0,0,,,,,unknown
2020/4/19,2020/4/25,40-44,נקבה,2457,49,0,,,,,female
2020/4/19,2020/4/25,40-44,זכר,2251,38,0,,,,,male
2020/4/19,2020/4/25,45-49,לא ידוע,<15,0,0,,,,,unknown
2020/4/19,2020/4/25,45-49,נקבה,2608,56,0,,,,,female
2020/4/19,2020/4/25,45-49,זכר,2069,45,<15,,,,,male
2020/4/19,2020/4/25,50-54,זכר,1703,34,0,,,,,male
2020/4/19,2020/4/25,50-54,נקבה,2454,37,<15,,,,,female
2020/4/19,2020/4/25,50-54,לא ידוע,<15,0,0,,,,,unknown
2020/4/19,2020/4/25,55-59,זכר,1613,25,<15,,,,,male
2020/4/19,2020/4/25,55-59,לא ידוע,<15,0,0,,,,,unknown
2020/4/19,2020/4/25,55-59,נקבה,2246,40,<15,,,,,female
2020/4/19,2020/4/25,60-64,לא ידוע,<15,0,0,,,,,unknown
2020/4/19,2020/4/25,60-64,זכר,1476,16,<15,,,,,male
2020/4/19,2020/4/25,60-64,נקבה,1921,20,0,,,,,female
2020/4/19,2020/4/25,65-69,נקבה,1499,16,0,,,,,female
2020/4/19,2020/4/25,65-69,זכר,1379,16,<15,,,,,male
2020/4/19,2020/4/25,65-69,לא ידוע,<15,0,0,,,,,unknown
2020/4/19,2020/4/25,70-74,לא ידוע,<15,0,0,,,,,unknown
2020/4/19,2020/4/25,70-74,זכר,1287,<15,<15,,,,,male
2020/4/19,2020/4/25,70-74,נקבה,1503,<15,<15,,,,,female
2020/4/19,2020/4/25,75-79,זכר,886,<15,<15,,,,,male
2020/4/19,2020/4/25,75-79,נקבה,1314,17,<15,,,,,female
2020/4/19,2020/4/25,75-79,לא ידוע,<15,0,0,,,,,unknown
2020/4/19,2020/4/25,80+,זכר,2572,24,<15,,,,,male
2020/4/19,2020/4/25,80+,נקבה,6002,38,<15,,,,,female
2020/4/19,2020/4/25,80+,לא ידוע,24,0,0,,,,,unknown
2020/4/19,2020/4/25,NULL,זכר,870,<15,0,,,,,male
2020/4/19,2020/4/25,NULL,לא ידוע,617,<15,0,,,,,unknown
2020/4/19,2020/4/25,NULL,נקבה,1061,16,0,,,,,female
2020/4/26,2020/5/2,0-19,זכר,4366,162,0,,,,,male
2020/4/26,2020/5/2,0-19,לא ידוע,82,<15,0,,,,,unknown
2020/4/26,2020/5/2,0-19,נקבה,2934,138,0,,,,,female
2020/4/26,2020/5/2,20-24,זכר,2518,64,0,,,,,male
2020/4/26,2020/5/2,20-24,לא ידוע,<15,<15,0,,,,,unknown
2020/4/26,2020/5/2,20-24,נקבה,2274,42,0,,,,,female
2020/4/26,2020/5/2,25-29,זכר,2111,32,0,,,,,male
2020/4/26,2020/5/2,25-29,נקבה,2294,32,0,,,,,female
2020/4/26,2020/5/2,25-29,לא ידוע,<15,0,0,,,,,unknown
2020/4/26,2020/5/2,30-34,זכר,1929,22,0,,,,,male
2020/4/26,2020/5/2,30-34,נקבה,2105,23,0,,,,,female
2020/4/26,2020/5/2,30-34,לא ידוע,<15,0,0,,,,,unknown
2020/4/26,2020/5/2,35-39,זכר,1772,<15,0,,,,,male
2020/4/26,2020/5/2,35-39,לא ידוע,<15,0,0,,,,,unknown
2020/4/26,2020/5/2,35-39,נקבה,1946,21,0,,,,,female
2020/4/26,2020/5/2,40-44,לא ידוע,<15,0,0,,,,,unknown
2020/4/26,2020/5/2,40-44,נקבה,1856,19,0,,,,,female
2020/4/26,2020/5/2,40-44,זכר,1655,<15,0,,,,,male
2020/4/26,2020/5/2,45-49,לא ידוע,0,0,0,,,,,unknown
2020/4/26,2020/5/2,45-49,נקבה,1897,18,0,,,,,female
2020/4/26,2020/5/2,45-49,זכר,1567,15,0,,,,,male
2020/4/26,2020/5/2,50-54,זכר,1457,<15,0,,,,,male
2020/4/26,2020/5/2,50-54,נקבה,1698,17,0,,,,,female
2020/4/26,2020/5/2,50-54,לא ידוע,<15,0,0,,,,,unknown
2020/4/26,2020/5/2,55-59,זכר,1265,<15,0,,,,,male
2020/4/26,2020/5/2,55-59,לא ידוע,<15,<15,0,,,,,unknown
2020/4/26,2020/5/2,55-59,נקבה,1659,16,0,,,,,female
2020/4/26,2020/5/2,60-64,לא ידוע,<15,0,0,,,,,unknown
2020/4/26,2020/5/2,60-64,זכר,1217,15,<15,,,,,male
2020/4/26,2020/5/2,60-64,נקבה,1515,<15,<15,,,,,female
2020/4/26,2020/5/2,65-69,נקבה,1233,<15,<15,,,,,female
2020/4/26,2020/5/2,65-69,זכר,1097,<15,<15,,,,,male
2020/4/26,2020/5/2,65-69,לא ידוע,<15,0,0,,,,,unknown
2020/4/26,2020/5/2,70-74,לא ידוע,<15,<15,0,,,,,unknown
2020/4/26,2020/5/2,70-74,זכר,994,<15,<15,,,,,male
2020/4/26,2020/5/2,70-74,נקבה,1106,<15,<15,,,,,female
2020/4/26,2020/5/2,75-79,זכר,673,<15,<15,,,,,male
2020/4/26,2020/5/2,75-79,נקבה,873,<15,0,,,,,female
2020/4/26,2020/5/2,75-79,לא ידוע,<15,0,0,,,,,unknown
2020/4/26,2020/5/2,80+,זכר,1907,<15,15,,,,,male
2020/4/26,2020/5/2,80+,נקבה,4352,18,<15,,,,,female
2020/4/26,2020/5/2,80+,לא ידוע,<15,0,0,,,,,unknown
2020/4/26,2020/5/2,NULL,זכר,771,20,0,,,,,male
2020/4/26,2020/5/2,NULL,לא ידוע,629,<15,0,,,,,unknown
2020/4/26,2020/5/2,NULL,נקבה,833,<15,0,,,,,female
2020/5/3,2020/5/9,0-19,זכר,3031,50,0,,,,,male
2020/5/3,2020/5/9,0-19,לא ידוע,16,0,0,,,,,unknown
2020/5/3,2020/5/9,0-19,נקבה,2423,42,0,,,,,female
2020/5/3,2020/5/9,20-24,זכר,1641,25,0,,,,,male
2020/5/3,2020/5/9,20-24,לא ידוע,<15,0,0,,,,,unknown
2020/5/3,2020/5/9,20-24,נקבה,1858,19,0,,,,,female
2020/5/3,2020/5/9,25-29,זכר,1802,<15,0,,,,,male
2020/5/3,2020/5/9,25-29,נקבה,2270,<15,0,,,,,female
2020/5/3,2020/5/9,25-29,לא ידוע,<15,0,0,,,,,unknown
2020/5/3,2020/5/9,30-34,זכר,1754,<15,0,,,,,male
2020/5/3,2020/5/9,30-34,נקבה,2126,<15,0,,,,,female
2020/5/3,2020/5/9,30-34,לא ידוע,<15,0,0,,,,,unknown
2020/5/3,2020/5/9,35-39,זכר,1692,<15,0,,,,,male
2020/5/3,2020/5/9,35-39,לא ידוע,<15,0,0,,,,,unknown
2020/5/3,2020/5/9,35-39,נקבה,2145,<15,0,,,,,female
2020/5/3,2020/5/9,40-44,לא ידוע,<15,0,0,,,,,unknown
2020/5/3,2020/5/9,40-44,נקבה,2452,<15,0,,,,,female
2020/5/3,2020/5/9,40-44,זכר,1631,<15,<15,,,,,male
2020/5/3,2020/5/9,45-49,לא ידוע,<15,0,0,,,,,unknown
2020/5/3,2020/5/9,45-49,נקבה,1875,<15,0,,,,,female
2020/5/3,2020/5/9,45-49,זכר,1565,<15,0,,,,,male
2020/5/3,2020/5/9,50-54,זכר,1248,<15,0,,,,,male
2020/5/3,2020/5/9,50-54,נקבה,1682,<15,0,,,,,female
2020/5/3,2020/5/9,50-54,לא ידוע,<15,0,0,,,,,unknown
2020/5/3,2020/5/9,55-59,זכר,1032,<15,0,,,,,male
2020/5/3,2020/5/9,55-59,לא ידוע,<15,0,0,,,,,unknown
2020/5/3,2020/5/9,55-59,נקבה,1568,<15,0,,,,,female
2020/5/3,2020/5/9,60-64,לא ידוע,<15,0,0,,,,,unknown
2020/5/3,2020/5/9,60-64,זכר,1055,<15,<15,,,,,male
2020/5/3,2020/5/9,60-64,נקבה,1360,<15,0,,,,,female
2020/5/3,2020/5/9,65-69,נקבה,1102,<15,0,,,,,female
2020/5/3,2020/5/9,65-69,זכר,984,<15,<15,,,,,male
2020/5/3,2020/5/9,65-69,לא ידוע,<15,0,0,,,,,unknown
2020/5/3,2020/5/9,70-74,לא ידוע,<15,0,0,,,,,unknown
2020/5/3,2020/5/9,70-74,זכר,917,<15,<15,,,,,male
2020/5/3,2020/5/9,70-74,נקבה,1109,<15,0,,,,,female
2020/5/3,2020/5/9,75-79,זכר,703,<15,<15,,,,,male
